IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Ekspektasi Klaim,Ekspektasi Komisi,Ekspektasi Beban Attributable,Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2024-08-01,RPUL,171648448.25522348,137340255.98565185,34308192.269571625,3760428.733590133,3427596.7765576513,1576566.3144961619,222770.10701232607,1628260.3550491636,320482.6669545326,12349.290077949103,0,3206410.782268691,2118173.6395510104,222770.10701232607,865467.0357053548,0,-554017.9513214421,2165653.8900108626,-4036666.6666666665,0,6202320.55667753,-729307.8078739159,0,-3813896.5596543406,-265500.75961919565,5946178.520637102,1137473.3934896505,176599818.20836747,141154152.5453062,35445665.663061276
2024-09-01,RPUL,176599818.20836744,141154152.54530618,35445665.66306127,4236474.884582359,3742131.8338210285,1795494.1903026623,224506.05082370254,1722131.5926946637,351762.57829973265,142580.4724615981,0,2503067.613719399,2213413.634772375,224506.05082370254,65147.92812332162,0,-1733407.2708629603,2394112.085103138,-2207500.0,0,4601612.085103137,-1777214.8713559,0,-1982993.9491762975,694968.0915133298,3729999.9999999995,664759.2709811316,179247571.42852488,143137146.4944825,36110424.9340424
2024-10-01,RPUL,179247571.42852485,143137146.49448246,36110424.9340424,4209879.87927633,3738835.463408064,1793671.8430201453,224616.3337743968,1720547.2866135219,351421.9129633667,119622.50290489856,0,2567708.2443262646,2213673.659313215,224616.3337743968,129418.25123865297,0,-1642171.634950065,2370888.6024623965,-427500.0,0,2798388.6024623965,-1709573.0255752802,0,-202883.6662256032,1208881.0704684698,0.0,-703575.6213324137,178746879.47341806,143340030.16070807,35406849.31270999
2024-11-01,RPUL,178746879.4734181,143340030.1607081,35406849.31270999,4261131.152531769,3763319.9283871804,1805822.4427659216,224772.07565709177,1732725.409964167,353854.78527300886,143956.43887158015,0,1505006.805427325,2213934.4379252233,224772.07565709177,-933699.7081549898,0,-2756124.347104444,2342238.250356535,-427500.0,0,2769738.250356535,-2852592.6103302236,0,-202727.92434290823,2300638.370609261,0.0,-754682.1640638709,178194925.23369712,143542758.085051,34652167.148646116
2024-12-01,RPUL,178194925.23369712,143542758.085051,34652167.14864612,4356596.577403395,3844289.9200508036,1823674.2155722836,229061.08675945358,1791554.617719066,361522.88332913496,150783.7740234566,0,2641923.230387481,2275029.3061285396,229061.08675945358,137832.83749948745,0,-1714673.3470159145,2374303.8918859316,-1815833.3333333333,0,4190137.2252192646,-1844459.8480179766,0,-1586772.2465738796,1743193.3251644985,2400000.0,711961.2305726425,180493658.71084362,145129530.33162487,35364128.379218765
2023-12-01,SPUL,14515743317.91924,13280198444.408083,1235544873.511158,4698475179.727372,3494495203.539211,65949701.71645135,3836061880.307908,-407516378.4851485,-34156667.67686972,1238136643.865031,0,-7895556512.559542,2993096480.7749915,3836061880.307908,-14724714873.64244,0,-12594031692.286915,16840410821.961523,-6935710508.342944,0,23776121330.304466,-2582779231.408289,0,-3099648628.035036,-94435071.79164685,17552087117.723747,11775224186.488775,29390616132.443054,16379847072.44312,13010769059.999933
2024-01-01,SPUL,29390616132.44305,16379847072.44312,13010769059.999931,7466382405.036311,6494081759.465705,115232089.51777579,3183697441.6124797,3195152228.335449,331038431.7853225,641262213.7852837,0,8706940484.679426,3010161907.938881,3183697441.6124797,2513081135.1280656,0,1240558079.643115,4489671304.831097,-2717360916.893402,0,7207032221.724499,-463629965.07714844,0,466336524.7190776,565468736.4759159,9269238125.202795,9837413421.32064,38761693029.04462,15913510547.724041,22848182481.32057
2024-02-01,SPUL,38761693029.04462,15913510547.724041,22848182481.32057,6216620365.672493,5490127983.892746,107385005.13669637,3205782509.382064,2176960469.3739862,228434547.45106825,498057834.32867897,0,8704825257.572714,2868557705.291801,3205782509.382064,2630485042.898849,0,2488204891.900221,7218969335.356293,-2696426179.467324,0,9915395514.823616,3632834012.5826488,0,509356329.9147401,-270522392.86495936,-18437277467.299706,-14565609517.667276,23686727181.4626,15404154217.809301,8282572963.653297
2024-03-01,SPUL,23686727181.462597,15404154217.8093,8282572963.653298,6435908092.027163,5652830906.162914,105249673.85307522,3097067578.8736825,2450513653.4361567,255576332.7289232,527500853.13532495,0,8467276779.240971,2758390942.3908157,3097067578.8736825,2611818257.9764724,0,2031368687.213808,6246513867.421984,-3681888863.1767097,0,9928402730.598694,2422424033.3712935,0,-584821284.3030272,-67620970.71611148,-748942390.9218311,1021039387.4303238,25292587853.19595,15988975502.112328,9303612351.083622
2024-04-01,SPUL,25292587853.19595,15988975502.11233,9303612351.08362,5817222743.330194,5192065879.070768,108499469.46948475,3027043614.673007,2056522794.9282763,216502226.4397761,408654637.8196499,0,7958975237.274884,2766302958.7938843,3027043614.673007,2165628663.807993,0,2141752493.9446898,3600467164.6146398,-1921786857.1082735,0,5522254021.722914,-51126914.90756178,0,1105256757.5647335,-404105213.3098241,-756935810.6174078,-106911181.27006018,24080419914.361156,14883718744.547596,9196701169.81356
