IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2023-12-01,RPUL,103846883.33353946,69211721.97844078,34635161.35509867,3795887.4996041846,3467770.9334681174,328116.5661360674,-0.0,0,4984768.491302619,1994879.3255990695,186605.2721074436,2803283.8935961053,0,1188880.991698434,1879641.7421902565,-4241666.666666667,0,6121308.408856924,887038.1361821771,0,-4055061.394559223,-320949.1856216229,-2.3283064365386963e-10,-3488972.4439986693,104412972.2841,73266783.373,31146188.9111
2024-01-01,RPUL,104412972.2841,73266783.373,31146188.9111,3795890.5355246635,3468031.4293419747,327859.10618268896,-0.0,0,2260326.750356705,1995075.9339766402,189440.36751508457,75810.44886498037,0,-1535563.7851679586,1865162.3797973725,-4241666.666666667,0,6106829.046464039,-1854917.7068623104,0,-4052226.2991515826,840264.1053565345,0.0,-5066879.900657358,103398318.68259422,77319009.67215158,26079309.010442644
2024-02-01,RPUL,103398318.68259422,77319009.67215158,26079309.010442644,3768645.928429364,3443553.319419643,325092.6090097212,-0.0,0,3236313.9450256373,1995273.112518506,192627.22932243074,1048413.6031847004,0,-532331.983403727,1853470.1813319465,-4241666.666666666,0,6095136.847998613,-866762.1439127172,0,-4049039.4373442354,-565705.069456374,0.0,-5481506.650713326,101965851.46922514,81368049.10949582,20597802.359729316
2024-03-01,RPUL,101965851.46922514,81368049.10949582,20597802.359729316,3700138.0131048495,3381594.0120015116,318544.00110333774,-0.0,0,4697776.840014452,1995470.8628781429,196154.0009681339,2506151.9761681757,0,997638.8269096026,1840904.971086063,-4241666.666666666,0,6082571.637752729,646918.9341493892,0,-4045512.665698532,79735.44126707158,2.3283064365386963e-10,-3318858.2902820706,102692505.8446416,85413561.77519435,17278944.069447245
2024-04-01,RPUL,102692505.8446416,85413561.77519435,17278944.069447245,3732857.555452997,3411689.522956902,321168.03249609476,-0.0,0,1159702.5738128037,1995669.1867138227,200009.19799595524,-1035975.8108969739,0,-2573154.981640193,1824686.3861678005,-4241666.666666667,0,6066353.052834468,-2944146.9801821704,0,-4041657.468670712,2681884.4422299084,-2.3283064365386963e-10,-4303920.006622974,102430243.30668932,89455219.24386506,12975024.062824272
2024-05-01,RPUL,102430243.30668932,89455219.24386506,12975024.062824272,3768957.386412872,3448318.386022242,320639.00039063016,-0.0,0,2981729.538747194,1995868.0856886262,241928.38211594085,743933.0709426275,0,-787227.8476656778,1844721.6902221995,-10005000.0,0,11849721.6902222,-1180302.6252480452,0,-9763071.617884059,1987753.770245165,8865446.301592756,-90174.17129418254,112103140.75327921,99218290.86174911,12884849.89153009
2024-06-01,RPUL,112103140.75327921,99218290.86174911,12884849.89153009,3828773.11058165,3504278.0333332457,316523.7739302707,7971.303318133488,0,11046729.871005373,2056900.8948037897,339040.2940305388,8650788.682171045,0,7217956.760423724,2089805.0559675675,-34125000.0,0,36214805.05596757,6911820.627556963,0,-33785959.70596946,-264558.12497278315,47613776.13812306,20475078.93473778,166364179.39398646,133004250.56771858,33359928.82626787
2024-07-01,RPUL,166364179.39398646,133004250.56771858,33359928.826267872,3703406.781199571,3381271.89218121,314394.39767811476,7740.4913402461,0,3590606.992941144,2057120.2823987207,237327.91540006298,1296158.7951423598,0,-112799.78825842729,2104381.31795133,-4573333.333333332,0,6677714.651284662,-302866.66810588166,0,-4336005.417933269,-323162.0050522652,5910297.5343951695,948263.4433037536,171648448.25522348,137340255.98565185,34308192.269571625
2024-08-01,RPUL,171648448.25522348,137340255.98565185,34308192.269571625,3760428.733590133,3427596.7765576513,320482.6669545326,12349.290077949103,0,3206410.782268691,2118173.6395510104,222770.10701232607,865467.0357053548,0,-554017.9513214421,2165653.8900108626,-4036666.6666666665,0,6202320.55667753,-729307.8078739159,0,-3813896.5596543406,-265500.75961919565,5946178.520637102,1137473.3934896505,176599818.20836747,141154152.5453062,35445665.663061276
2024-09-01,RPUL,176599818.20836744,141154152.54530618,35445665.66306127,4236474.884582359,3742131.8338210285,351762.57829973265,142580.4724615981,0,2503067.613719399,2213413.634772375,224506.05082370254,65147.928123321384,0,-1733407.2708629603,2394112.085103138,-2207500.0,0,4601612.085103137,-1777214.8713559,0,-1982993.9491762975,694968.0915133298,3729999.9999999995,664759.2709811316,179247571.42852488,143137146.4944825,36110424.9340424
